Odcinki
KOD ŹRÓDŁOWY
Nr	Tytuł	Premiera	Oglądalność premiery[1]
106	Bardzo krótkie kariery	15.03.2015	7 000 249
107	W szponach zdrowia	22.03.2015	6 688 884
108	Gambit geniusza	29.03.2015	5 765 600
109	Potęga mediów	05.04.2015	4 916 711
110	Boska cząstka	12.04.2015	6 215 655
111	Istotny dysonans	19.04.2015	6 473 427
112	Demony Kusego	26.04.2015	6 196 250
113	Konie trojańskie	03.05.2015	6 099 286
114	Zamrożony kapitał	10.05.2015	5 544 175
115	Brzytwa dla tonącego	24.05.2015	4 951 297
116	Grzechy miłości	31.05.2015	5 628 265
117	Złoty róg	07.06.2015	5 620 303
SEZON 10 (2016)
118	Kto tu rządzi	04.09.2016	4 871 510
119	Partyzancka dola	11.09.2016	4 774 436
120	Próba ognia	18.09.2016	5 107 647
121	Geny nie kłamią	25.09.2016	5 026 592
122	Wszystko jest teatrem	2.10.2016	5 199 098 
123	Depresja biskupa	9.10.2016	5 180 200
124	Wet za wet	16.10.2016	5 244 073
125	Polityczny zombie	23.10.2016	5 315 237
126	Edukacyjne dylematy	30.10.2016	5 560 644
127	Dominator	6.11.2016	5 525 780
128	Klauzula sumienia	13.11.2016	5 455 679
129	Ochotnicza straż kobiet	20.11.2016	5 468 914
130	Cuda, cuda ogłaszają	27.11.2016	6 107 244
